timestamp,model,method,bits,ppl_wikitext2,acc_arc_easy,acc_hellaswag,acc_winogrande,quant_time_s,eval_time_s,model_path
2026-09-15T02:03:30.927271,qwen2.5-0.5b,rtn,4,,,,,0.3,0.0,phase1/results/qwen2.5-0.5b_rtn_4b
2026-09-15T02:05:09.171666,qwen2.5-0.5b,rtn,4,,,,,0.1,0.0,phase1/results/qwen2.5-0.5b_rtn_4b
